Date,Close_MSFT,Volume_MSFT
2012-01-03,21.200511932373047,64731500.0
2012-01-04,21.69944190979004,80516100.0
2012-01-05,21.921188354492188,56081400.0
2012-01-06,22.261730194091797,99455500.0
2012-01-09,21.968704223632812,59706800.0
2012-01-10,22.04790496826172,60014400.0
2012-01-11,21.952863693237305,65582400.0
2012-01-12,22.174612045288086,49370800.0
2012-01-13,22.372600555419922,60196100.0
2012-01-17,22.38051986694336,72395300.0
2012-01-18,22.356760025024414,64860600.0
2012-01-19,22.2696475982666,74053500.0
2012-01-20,23.52884864807129,165902900.0
2012-01-23,23.544687271118164,76078100.0
2012-01-24,23.235830307006836,51703300.0
2012-01-25,23.410058975219727,59231700.0
2012-01-26,23.362539291381836,49102800.0
2012-01-27,23.14870834350586,44187700.0
2012-01-30,23.449649810791016,51114800.0
2012-01-31,23.386302947998047,50572400.0
2012-02-01,23.67139434814453,67409900.0
2012-02-02,23.718910217285156,52223300.0
2012-02-03,23.948585510253906,41838500.0
2012-02-06,23.91690444946289,28039700.0
2012-02-07,24.035696029663086,39242400.0
2012-02-08,24.281198501586914,49659100.0
2012-02-09,24.368314743041992,50481600.0
2012-02-10,24.154489517211914,44605300.0
2012-02-13,24.217851638793945,33319800.0
2012-02-14,24.114213943481445,59644000.0
2012-02-15,23.95478057861328,43311300.0
2012-02-16,24.94326400756836,94705100.0
2012-02-17,24.911373138427734,70036500.0
2012-02-21,25.062843322753906,50829900.0
2012-02-22,24.92731475830078,49253200.0
2012-02-23,25.007038116455078,35034700.0
2012-02-24,25.094722747802734,35575400.0
2012-02-27,24.991092681884766,34568400.0
2012-02-28,25.405624389648438,45230600.0
2012-02-29,25.301986694335938,59323600.0
2012-03-01,25.74043083190918,77344100.0
2012-03-02,25.57302474975586,47314200.0
2012-03-05,25.349815368652344,45240000.0
2012-03-06,25.15849494934082,51932900.0
2012-03-07,25.38170623779297,34340400.0
2012-03-08,25.517215728759766,36747400.0
2012-03-09,25.501283645629883,34628400.0
2012-03-12,25.5411376953125,34073600.0
2012-03-13,26.04334831237793,48951700.0
2012-03-14,26.123064041137695,41986900.0
2012-03-15,26.186832427978516,49068300.0
2012-03-16,25.9875545501709,65626400.0
2012-03-19,25.668678283691406,44789200.0
2012-03-20,25.501283645629883,41566800.0
2012-03-21,25.437501907348633,37928600.0
2012-03-22,25.509252548217773,31749500.0
2012-03-23,25.517215728759766,35912200.0
2012-03-26,25.97958755493164,36758300.0
2012-03-27,25.92378044128418,36274900.0
2012-03-28,25.66071128845215,41344800.0
2012-03-29,25.604909896850586,37038500.0
2012-03-30,25.716506958007812,31749400.0
2012-04-02,25.74043083190918,35853600.0
2012-04-03,25.461421966552734,42752100.0
2012-04-04,24.879487991333008,49455900.0
2012-04-05,25.126617431640625,50368600.0
2012-04-09,24.791799545288086,31056400.0
2012-04-10,24.28959083557129,54131300.0
2012-04-11,24.19392967224121,43014000.0
2012-04-12,24.696138381958008,38304000.0
2012-04-13,24.560626983642578,39749200.0
2012-04-16,24.775859832763672,38124800.0
2012-04-17,25.062843322753906,34361500.0
2012-04-18,24.823684692382812,40552900.0
2012-04-19,24.720050811767578,54781200.0
2012-04-20,25.844051361083984,106045000.0
2012-04-23,25.604909896850586,61398200.0
2012-04-24,25.445480346679688,40871100.0
2012-04-25,25.668678283691406,62495500.0
2012-04-26,25.596940994262695,40308100.0
2012-04-27,25.49330711364746,41419100.0
2012-04-30,25.525196075439453,35697200.0
2012-05-01,25.517215728759766,43832300.0
2012-05-02,25.349815368652344,37385300.0
2012-05-03,25.31792640686035,31501300.0
2012-05-04,24.696138381958008,57927200.0
2012-05-07,24.43308448791504,48641400.0
2012-05-08,24.31350326538086,46328300.0
2012-05-09,24.520763397216797,50309300.0
2012-05-10,24.504833221435547,43839200.0
2012-05-11,24.839635848999023,43459300.0
2012-05-14,24.45699119567871,40528900.0
2012-05-15,24.24034309387207,61822800.0
2012-05-16,23.99159812927246,60083700.0
2012-05-17,23.847171783447266,48484000.0
2012-05-18,23.486099243164062,56205300.0
2012-05-21,23.87124252319336,38787900.0
2012-05-22,23.8792724609375,39504900.0
2012-05-23,23.357715606689453,65171000.0
2012-05-24,23.325618743896484,52575000.0
2012-05-25,23.317594528198242,29507200.0
2012-05-29,23.718793869018555,37758800.0
2012-05-30,23.542264938354492,41585500.0
