Date,Close_META,Volume_META
2012-01-03,,
2012-01-04,,
2012-01-05,,
2012-01-06,,
2012-01-09,,
2012-01-10,,
2012-01-11,,
2012-01-12,,
2012-01-13,,
2012-01-17,,
2012-01-18,,
2012-01-19,,
2012-01-20,,
2012-01-23,,
2012-01-24,,
2012-01-25,,
2012-01-26,,
2012-01-27,,
2012-01-30,,
2012-01-31,,
2012-02-01,,
2012-02-02,,
2012-02-03,,
2012-02-06,,
2012-02-07,,
2012-02-08,,
2012-02-09,,
2012-02-10,,
2012-02-13,,
2012-02-14,,
2012-02-15,,
2012-02-16,,
2012-02-17,,
2012-02-21,,
2012-02-22,,
2012-02-23,,
2012-02-24,,
2012-02-27,,
2012-02-28,,
2012-02-29,,
2012-03-01,,
2012-03-02,,
2012-03-05,,
2012-03-06,,
2012-03-07,,
2012-03-08,,
2012-03-09,,
2012-03-12,,
2012-03-13,,
2012-03-14,,
2012-03-15,,
2012-03-16,,
2012-03-19,,
2012-03-20,,
2012-03-21,,
2012-03-22,,
2012-03-23,,
2012-03-26,,
2012-03-27,,
2012-03-28,,
2012-03-29,,
2012-03-30,,
2012-04-02,,
2012-04-03,,
2012-04-04,,
2012-04-05,,
2012-04-09,,
2012-04-10,,
2012-04-11,,
2012-04-12,,
2012-04-13,,
2012-04-16,,
2012-04-17,,
2012-04-18,,
2012-04-19,,
2012-04-20,,
2012-04-23,,
2012-04-24,,
2012-04-25,,
2012-04-26,,
2012-04-27,,
2012-04-30,,
2012-05-01,,
2012-05-02,,
2012-05-03,,
2012-05-04,,
2012-05-07,,
2012-05-08,,
2012-05-09,,
2012-05-10,,
2012-05-11,,
2012-05-14,,
2012-05-15,,
2012-05-16,,
2012-05-17,,
2012-05-18,38.15160369873047,573576400.0
2012-05-21,33.96021270751953,168192700.0
2012-05-22,30.93642807006836,101786600.0
2012-05-23,31.934377670288086,73600000.0
2012-05-24,32.96226501464844,50237200.0
2012-05-25,31.844562530517578,37149800.0
2012-05-29,28.78085708618164,78063400.0
2012-05-30,28.132190704345703,57267900.0
2012-05-31,29.53929901123047,111639200.0
2012-06-01,27.66315460205078,41855500.0
2012-06-04,26.84483528137207,35230300.0
2012-06-05,25.81694984436035,42473400.0
2012-06-06,26.755020141601562,61489200.0
2012-06-07,26.256044387817383,26159500.0
2012-06-08,27.04442596435547,38034000.0
2012-06-11,26.95461082458496,28219600.0
2012-06-12,27.343809127807617,15816800.0
2012-06-13,27.21407699584961,17102800.0
2012-06-14,28.231985092163086,16855000.0
2012-06-15,29.948457717895508,43563800.0
2012-06-18,31.3455867767334,42978900.0
2012-06-19,31.844562530517578,30849000.0
2012-06-20,31.535198211669922,15553600.0
2012-06-21,31.774703979492188,21875300.0
2012-06-22,32.98221969604492,74834000.0
2012-06-25,31.99425506591797,24352900.0
2012-06-26,33.0321159362793,24858700.0
2012-06-27,32.16390609741211,28568000.0
2012-06-28,31.295690536499023,17713300.0
2012-06-29,31.036222457885742,19526900.0
2012-07-02,30.706899642944336,14122000.0
2012-07-03,31.136018753051758,8763600.0
2012-07-05,31.40546417236328,10032100.0
2012-07-06,31.66493034362793,10945600.0
2012-07-09,32.104026794433594,17785200.0
2012-07-10,31.40546417236328,14269500.0
2012-07-11,30.9064884185791,13030300.0
2012-07-12,30.746816635131836,11300700.0
2012-07-13,30.657001495361328,8108300.0
2012-07-16,28.192066192626953,24672100.0
2012-07-17,28.032394409179688,30438600.0
2012-07-18,29.050304412841797,16841800.0
2012-07-19,28.940528869628906,13685100.0
2012-07-20,28.701021194458008,11869100.0
2012-07-23,28.691041946411133,12390700.0
2012-07-24,28.39165687561035,11539800.0
2012-07-25,29.279830932617188,17230200.0
2012-07-26,26.794939041137695,64597400.0
2012-07-27,23.661376953125,123102300.0
2012-07-30,23.10252571105957,29285900.0
2012-07-31,21.665477752685547,56179400.0
2012-08-01,20.837181091308594,44604400.0
2012-08-02,19.998905181884766,56374500.0
2012-08-03,21.046751022338867,80647000.0
2012-08-06,21.87504768371582,27778900.0
2012-08-07,20.677509307861328,36782900.0
2012-08-08,20.677509307861328,29537400.0
2012-08-09,20.966915130615234,15610700.0
2012-08-10,21.76527214050293,25794700.0
2012-08-13,21.55570411682129,24973100.0
2012-08-14,20.338205337524414,39308800.0
2012-08-15,21.156524658203125,47861100.0
2012-08-16,19.829252243041992,157565300.0
2012-08-17,19.01093292236328,129293400.0
2012-08-20,19.968965530395508,101186600.0
2012-08-21,19.120708465576172,70640600.0
2012-08-22,19.400135040283203,49892200.0
