Date,Close_GOOGL,Volume_GOOGL
2012-01-03,16.6328125,146912940
2012-01-04,16.704553604125977,114445440
2012-01-05,16.472835540771484,131184684
2012-01-06,16.248119354248047,107608284
2012-01-09,15.559219360351562,232671096
2012-01-10,15.576217651367188,175648176
2012-01-11,15.646707534790039,95904000
2012-01-12,15.738693237304688,74932992
2012-01-13,15.62246036529541,92199708
2012-01-17,15.712197303771973,76295628
2012-01-18,15.82043170928955,110357532
2012-01-19,15.986907005310059,251959788
2012-01-20,14.647603034973145,422628948
2012-01-23,14.635855674743652,136379484
2012-01-24,14.521122932434082,122109768
2012-01-25,14.235164642333984,199308492
2012-01-26,14.200419425964355,128918952
2012-01-27,14.49737548828125,144555300
2012-01-30,14.440134048461914,93126780
2012-01-31,14.500624656677246,85610304
2012-02-01,14.518622398376465,92735172
2012-02-02,14.625606536865234,96491412
2012-02-03,14.906064987182617,126613260
2012-02-06,15.225018501281738,147036816
2012-02-07,15.16702651977539,83600316
2012-02-08,15.244016647338867,73382544
2012-02-09,15.284259796142578,90497412
2012-02-10,15.145530700683594,92914992
2012-02-13,15.302757263183594,72579348
2012-02-14,15.241765975952148,72075852
2012-02-15,15.136781692504883,96938964
2012-02-16,15.160778045654297,101134764
2012-02-17,15.113784790039062,97866036
2012-02-21,15.347750663757324,99132768
2012-02-22,15.196272850036621,78601320
2012-02-23,15.150529861450195,82117800
2012-02-24,15.24526596069336,77346576
2012-02-27,15.230518341064453,72483444
2012-02-28,15.45748519897461,113790096
2012-02-29,15.453985214233398,125350524
2012-03-01,15.557720184326172,89418492
2012-03-02,15.528974533081055,62869068
2012-03-05,15.354000091552734,63668268
2012-03-06,15.121784210205078,126849024
2012-03-07,15.167777061462402,50529420
2012-03-08,15.176276206970215,53766180
2012-03-09,15.004050254821777,106717176
2012-03-12,15.126533508300781,66693240
2012-03-13,15.44223690032959,89742168
2012-03-14,15.397493362426758,117358524
2012-03-15,15.52597427368164,97306596
2012-03-16,15.623710632324219,121897980
2012-03-19,15.847177505493164,86825088
2012-03-20,15.834929466247559,61558380
2012-03-21,15.997156143188477,98685216
2012-03-22,16.148883819580078,96311592
2012-03-23,16.062397003173828,77530392
2012-03-26,16.230871200561523,72695232
2012-03-27,16.17313003540039,80207712
2012-03-28,16.391597747802734,101454444
2012-03-29,16.207874298095703,76895028
2012-03-30,16.028650283813477,92335572
2012-04-02,16.170631408691406,91276632
2012-04-03,16.06314468383789,81714204
2012-04-04,15.876423835754395,65038896
2012-04-05,15.805684089660645,92655252
2012-04-09,15.768689155578613,87220692
2012-04-10,15.669203758239746,99180720
2012-04-11,15.8966703414917,87872040
2012-04-12,16.272865295410156,230033736
2012-04-13,15.612712860107422,326045628
2012-04-16,15.149529457092285,227456316
2012-04-17,15.237017631530762,120835044
2012-04-18,15.184024810791016,106673220
2012-04-19,14.980303764343262,131652216
2012-04-20,14.899316787719727,122213664
2012-04-23,14.937810897827148,87824088
2012-04-24,15.029547691345215,77086836
2012-04-25,15.240766525268555,72771156
2012-04-26,15.384495735168457,83616300
2012-04-27,15.372246742248535,65390544
2012-04-30,15.119033813476562,96195708
2012-05-01,15.108536720275879,80011908
2012-05-02,15.179276466369629,64395540
2012-05-03,15.273262023925781,74645280
2012-05-04,14.922062873840332,88207704
2012-05-07,15.186524391174316,79700220
2012-05-08,15.3175048828125,106984908
2012-05-09,15.226518630981445,93058848
2012-05-10,15.339252471923828,61374564
2012-05-11,15.128533363342285,83892024
2012-05-14,15.097787857055664,72903024
2012-05-15,15.275511741638184,83999916
2012-05-16,15.720946311950684,193210596
2012-05-17,15.573967933654785,134017848
2012-05-18,15.007801055908203,238701060
2012-05-21,15.35050106048584,122892984
2012-05-22,15.017799377441406,121953924
2012-05-23,15.234267234802246,126996876
2012-05-24,15.089289665222168,75576348
2012-05-25,14.786083221435547,143132724
2012-05-29,14.856322288513184,104123772
2012-05-30,14.703595161437988,76191732
2012-05-31,14.51937198638916,118613268
2012-06-01,14.272408485412598,122193684
2012-06-04,14.462630271911621,97210692
2012-06-05,14.258160591125488,93502404
2012-06-06,14.512123107910156,83748168
2012-06-07,14.453631401062012,70269660
2012-06-08,14.509123802185059,56359584
2012-06-11,14.210417747497559,106337556
2012-06-12,14.1254301071167,128839032
2012-06-13,14.02519416809082,78089832
2012-06-14,13.974202156066895,93702204
2012-06-15,14.110682487487793,119927952
2012-06-18,14.269159317016602,99776124
2012-06-19,14.536120414733887,82964952
2012-06-20,14.43563461303711,93774132
2012-06-21,14.128179550170898,80371548
2012-06-22,14.284906387329102,89026884
2012-06-25,14.015446662902832,63200736
2012-06-26,14.114931106567383,53953992
2012-06-27,14.230415344238281,67624308
2012-06-28,14.105683326721191,76759164
2012-06-29,14.499625205993652,100679220
2012-07-02,14.509623527526855,66153780
2012-07-03,14.693595886230469,47532420
2012-07-05,14.895817756652832,93742164
2012-07-06,14.647353172302246,86385528
2012-07-09,14.648103713989258,68535396
2012-07-10,14.540369987487793,76847076
2012-07-11,14.277657508850098,139832028
2012-07-12,14.259909629821777,92299608
2012-07-13,14.410887718200684,78960960
